Season_Year_Aired,Name_Rank,Character_Name
2019,955,Lisa
2019,295,Maggie
2019,191,Abraham
2019,655,Nelson
2018,671,Nelson
2018,877,Lisa
2018,950,Ralph
2018,293,Maggie
2018,163,Abraham
2017,248,Maggie
2017,169,Abraham
2017,885,Lisa
2017,631,Nelson
2016,620,Nelson
2016,242,Maggie
2016,991,Ralph
2016,834,Lisa
2016,157,Abraham
2015,754,Lisa
2015,626,Nelson
2015,241,Maggie
2015,169,Abraham
2014,645,Nelson
2014,180,Abraham
2014,238,Maggie
2014,739,Lisa
2013,768,Lisa
2013,182,Abraham
2013,232,Maggie
2013,581,Nelson
2012,247,Maggie
2012,558,Nelson
2012,190,Abraham
2012,708,Lisa
2011,953,Ralph
2011,192,Abraham
2011,702,Lisa
2011,556,Nelson
2011,229,Maggie
2010,194,Abraham
2010,712,Lisa
2010,225,Maggie
2010,572,Nelson
2010,966,Ralph
2009,233,Maggie
2009,693,Lisa
2009,180,Abraham
2009,953,Ralph
2009,524,Nelson
2008,214,Maggie
2008,186,Abraham
2008,860,Ralph
2008,497,Nelson
2008,603,Lisa
2007,868,Ralph
2007,467,Nelson
2007,188,Abraham
2007,570,Lisa
2007,181,Maggie
2006,448,Nelson
2006,500,Lisa
2006,182,Abraham
2006,189,Maggie
2006,759,Ralph
2005,441,Nelson
2005,493,Lisa
2005,192,Abraham
2005,768,Ralph
2005,211,Maggie
2004,452,Nelson
2004,205,Maggie
2004,710,Ralph
2004,427,Lisa
2004,193,Abraham
2003,420,Nelson
2003,372,Lisa
2003,658,Ralph
2003,195,Abraham
2003,188,Maggie
2002,204,Abraham
2002,190,Maggie
2002,359,Lisa
2002,408,Nelson
2002,630,Ralph
2001,336,Lisa
2001,407,Nelson
2001,200,Abraham
2001,610,Ralph
2001,181,Maggie
2000,295,Lisa
2000,414,Nelson
2000,198,Maggie
2000,583,Ralph
2000,213,Abraham
1999,282,Lisa
1999,570,Ralph
1999,224,Maggie
1999,402,Nelson
1999,214,Abraham
1998,208,Abraham
1998,230,Lisa
1998,582,Ralph
1998,397,Nelson
1998,248,Maggie
1997,277,Maggie
1997,544,Ralph
1997,194,Lisa
1997,216,Abraham
1997,387,Nelson
1996,227,Abraham
1996,256,Maggie
1996,168,Lisa
1996,377,Nelson
1996,503,Ralph
1995,232,Abraham
1995,144,Lisa
1995,502,Ralph
1995,250,Maggie
1995,356,Nelson
1994,232,Maggie
1994,123,Lisa
1994,342,Nelson
1994,241,Abraham
1994,490,Ralph
1993,332,Nelson
1993,244,Abraham
1993,100,Lisa
1993,281,Maggie
1993,428,Ralph
1992,319,Nelson
1992,271,Maggie
1992,441,Ralph
1992,88,Lisa
1992,254,Abraham
1991,405,Ralph
1991,296,Maggie
1991,83,Lisa
1991,243,Abraham
1991,318,Nelson
1990,385,Ralph
1990,64,Lisa
1990,244,Abraham
1990,288,Maggie
1990,279,Nelson
