,Season_Number,Number_of_Episodes,Average_Ep_Viewers_in_mil,Most_Watched_Ep_Viewers_in_mil,Episode_Title
0,1,13,27.8,33.5,"""Life on the Fast Lane"""
1,2,22,24.4,33.6,"""Bart Gets an F"""
2,3,24,21.8,25.5,"""Colonel Homer"""
3,4,22,22.4,28.6,"""Lisa's First Word"""
4,5,22,18.9,24.0,"""Treehouse of Horror IV"""
5,6,25,15.6,22.2,"""Treehouse of Horror V"""
6,7,25,15.1,19.7,"""Treehouse of Horror VI"""
7,8,25,14.5,20.9,"""The Springfield Files"""
8,9,25,15.3,19.8,"""The Two Mrs. Nahasapeemapetilons"""
9,10,23,13.5,15.5,"""Maximum Homerdrive"""
10,11,22,8.8,18.4,"""The Mansion Family"""
11,12,21,15.5,18.6,"""Worst Episode Ever"""
12,13,22,12.5,14.9,"""The Parent Rap"""
13,14,22,14.4,22.1,"""I'm Spelling as Fast as I Can"""
14,15,22,11.0,16.3,"""I, (Annoyed Grunt)-Bot"""
15,16,21,10.2,23.07,"""Homer and Ned's Hail Mary Pass"""
16,17,22,9.55,11.63,"""Treehouse of Horror XVI"""
17,18,22,9.15,13.90,"""The Wife Aquatic"""
18,19,20,8.37,11.7,"""Treehouse of Horror XVIII"""
19,20,21,7.1,12.4,"""Treehouse of Horror XIX"""
20,21,23,7.1,14.62,"""Once Upon a Time in Springfield"""
21,22,22,7.09,12.6,"""Moms I'd Like to Forget"""
22,23,22,6.15,11.48,"""The D'oh-cial Network"""
23,24,22,5.41,8.97,"""Homer Goes to Prep School"""
24,25,22,5.02,12.04,"""Steal This Episode"""
25,26,22,5.61,10.62,"""The Man Who Came to Be Dinner"""
26,27,22,4.0,8.33,"""Teenage Mutant Milk-Caused Hurdles"""
27,28,22,4.8,8.19,"""Pork and Burns"""
28,29,21,4.07,8.04,"""Frink Gets Testy"""
29,30,23,3.1,8.20,"""The Girl on the Bus"""
30,31,22,2.58,5.63,"""Go Big or Go Homer"""
31,32,0,0.0,0,0
