Season,Lisa,Maggie,Abraham,Ralph,Nelson
30,955,295,191,,655
29,877,293,163,950.0,671
28,885,248,169,,631
27,834,242,157,991.0,620
26,754,241,169,,626
25,739,238,180,,645
24,768,232,182,,581
23,708,247,190,,558
22,702,229,192,953.0,556
21,712,225,194,966.0,572
20,693,233,180,953.0,524
19,603,214,186,860.0,497
18,570,181,188,868.0,467
17,500,189,182,759.0,448
16,493,211,192,768.0,441
15,427,205,193,710.0,452
14,372,188,195,658.0,420
13,359,190,204,630.0,408
12,336,181,200,610.0,407
11,295,198,213,583.0,414
10,282,224,214,570.0,402
9,230,248,208,582.0,397
8,194,277,216,544.0,387
7,168,256,227,503.0,377
6,144,250,232,502.0,356
5,123,232,241,490.0,342
4,100,281,244,428.0,332
3,88,271,254,441.0,319
2,83,296,243,405.0,318
1,64,288,244,385.0,279
